epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,479.739,2.12996,3.03926,1.81169,0.42654,0.05873,0.03415,0.0115,2.47152,3.36221,2.0579,0.000475124,0.000475124,0.000475124
2,926.635,2.10682,2.90256,1.79563,0.40449,0.06069,0.0251,0.00799,2.5055,3.1984,2.0279,0.000888661,0.000888661,0.000888661
3,1374.46,2.0697,2.85932,1.7892,0.71151,0.04321,0.03086,0.00984,2.50881,3.31454,1.99689,0.00123932,0.00123932,0.00123932
4,1817.86,2.03075,2.84536,1.74975,0.397,0.06481,0.04226,0.01368,2.38222,3.12616,1.91673,0.00114606,0.00114606,0.00114606
5,2263.4,1.95957,2.77873,1.7265,0.16434,0.11786,0.04202,0.01432,2.35724,3.03395,1.87116,0.00105174,0.00105174,0.00105174
6,2705.11,2.06692,2.8973,1.79761,0.19136,0.1452,0.0576,0.02362,2.19961,2.9692,1.79911,0.00095743,0.00095743,0.00095743
7,3146.11,2.03436,2.81969,1.76986,0.74647,0.08642,0.06159,0.02759,2.19652,2.99269,1.77989,0.000863116,0.000863116,0.000863116
8,3590.39,1.98047,2.77348,1.75082,0.75322,0.09066,0.07191,0.03025,2.15709,2.99192,1.75239,0.000768802,0.000768802,0.000768802
9,4033.48,1.93503,2.72197,1.72466,0.5913,0.09487,0.07762,0.0369,2.07154,2.85489,1.72251,0.000674488,0.000674488,0.000674488
10,4474.77,1.88964,2.65121,1.69052,0.76686,0.09336,0.08405,0.04393,2.04786,2.85368,1.68406,0.000580174,0.000580174,0.000580174
11,4918.03,1.83417,2.64072,1.66632,0.17533,0.15069,0.09086,0.04725,2.00035,2.81729,1.66636,0.00048586,0.00048586,0.00048586
12,5358.74,1.78285,2.58016,1.63808,0.2039,0.15247,0.09712,0.04842,1.97462,2.77394,1.66172,0.000391546,0.000391546,0.000391546
13,5801.84,1.77967,2.54313,1.62713,0.21921,0.15859,0.10049,0.05216,1.94805,2.75,1.63817,0.000297232,0.000297232,0.000297232
14,6242.82,1.72914,2.50715,1.59125,0.18528,0.15921,0.1027,0.0554,1.92333,2.7406,1.61436,0.000202918,0.000202918,0.000202918
15,6683.75,1.71706,2.48123,1.59261,0.20346,0.16013,0.10513,0.05676,1.91004,2.72064,1.60852,0.000108604,0.000108604,0.000108604
