epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,180.616,1.74176,2.76534,1.69668,0.84836,0.10392,0.09446,0.04177,1.90494,2.84313,1.55162,0.000414938,0.000414938,0.000414938
2,298.084,1.67346,2.25664,1.64049,0.83371,0.12048,0.08066,0.03281,1.90318,2.9509,1.51725,0.000776719,0.000776719,0.000776719
3,415.618,1.63941,2.20962,1.5806,0.82398,0.06476,0.06234,0.02082,2.01258,3.2203,1.69894,0.0010835,0.0010835,0.0010835
4,531.422,1.60557,2.16443,1.5867,0.85996,0.07982,0.10618,0.04537,1.81628,2.60074,1.49372,0.0010025,0.0010025,0.0010025
5,645.897,1.57808,2.07376,1.54317,0.86979,0.12801,0.12867,0.0505,1.67802,2.60252,1.40545,0.00092,0.00092,0.00092
6,759.01,1.56598,2.09237,1.58633,0.87121,0.12048,0.11444,0.05542,1.60856,2.3961,1.35644,0.0008375,0.0008375,0.0008375
7,872.883,1.56925,1.90937,1.54922,0.88631,0.13705,0.17054,0.07375,1.70855,2.34461,1.38469,0.000755,0.000755,0.000755
8,985.693,1.52508,1.84186,1.52641,0.91277,0.14893,0.17743,0.08144,1.62014,2.20206,1.34592,0.0006725,0.0006725,0.0006725
9,1098.98,1.46005,1.73257,1.49854,0.90704,0.1747,0.19877,0.11688,1.48761,2.00363,1.26725,0.00059,0.00059,0.00059
10,1213.72,1.42404,1.62813,1.44423,0.9036,0.17169,0.19112,0.11242,1.45039,1.95564,1.20367,0.0005075,0.0005075,0.0005075
11,1326.89,1.35929,1.56795,1.40925,0.91989,0.17319,0.21136,0.12442,1.46981,1.90606,1.21426,0.000425,0.000425,0.000425
12,1440.07,1.33039,1.54259,1.39987,0.9191,0.18257,0.20468,0.11956,1.43665,1.87915,1.19322,0.0003425,0.0003425,0.0003425
13,1552.58,1.3065,1.48756,1.3646,0.91813,0.1763,0.22335,0.13941,1.36922,1.77657,1.15286,0.00026,0.00026,0.00026
14,1664.62,1.25421,1.43023,1.34929,0.92153,0.18223,0.22396,0.14279,1.3255,1.78082,1.13887,0.0001775,0.0001775,0.0001775
15,1777.15,1.23779,1.41117,1.34299,0.91931,0.18011,0.21815,0.13829,1.33051,1.75378,1.13926,9.5e-05,9.5e-05,9.5e-05
